name,en_name,size,kcal,sodium,sat_fat,sugar,protein,caffeine,allergy,image,desc_top,desc_bottom
나이트로 바닐라 크림,Nitro Vanilla Cream,Tall(톨) / 355ml (12 fl oz),75,20,2,10,1,245,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9200000002487]_20190919181354845.jpg,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!
제주 비자림 콜드 브루,Jeju Forest Cold Brew,Grande(그란데) / 473ml (16 fl oz),340,115,8,44,10,105,,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002672]_20200220135658610.jpg,"[제주지역 한정음료] 제주 천년의 숲 비자림을 연상시키는
음료로 제주에서 유기농 말차로 만든
파우더와 Cold Brew를 활용한 음료.
더욱 시원하고 새로운 Cold Brew를 제주에서 즐겨보세요.",[제주지역 한정음료] 제주 천년의 숲 비자림을 연상시키는
코코넛 화이트 콜드 브루,Coconut White Cold Brew,Tall(톨) / 355ml (12 fl oz),415,65,15,19,5,150,,https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002739]_20200403131524603.jpg,"고소한 코코넛과 정성스레 내린 콜드 브루와의 풍미좋은 만남
코코넛으로 만든 달콤하고 부드러운 크림 폼과 콜드 브루의 감칠맛이 깔끔하게 올라오는,
코코넛 화이트 콜드브루",고소한 코코넛과 정성스레 내린 콜드 브루와의 풍미좋은 만남
나이트로 쇼콜라 클라우드,Nitro Chocolat Cloud,Tall(톨) / 355ml (12 fl oz),55,20,2,7,1,245,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9200000001275]_20180409150826100.jpg,"초콜릿과 견과류의 풍미, 초콜릿 파우더 토핑, 하프&하프 샷
부드럽고 달콤한 새로운 나이트로 콜드 브루",차가운 물로 14시간 동안 서서히 완성된 콜드 브루가 질소와 만나
나이트로 콜드 브루,Nitro Cold Brew,Tall(톨) / 355ml (12 fl oz),5,5,0,0,0,245,,https://image.istarbucks.co.kr/upload/store/skuimg/2017/03/[9200000000479]_20170328134443541.jpg,"나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.",차가운 물로 14시간 동안 서서히 완성된 콜드 브루가 질소와 만나
돌체 콜드 브루,Dolce Cold Brew,Tall(톨) / 355ml (12 fl oz),265,115,9,29,8,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002081]_20190409153909859.jpg,"무더운 여름철,
동남아 휴가지에서 즐기는 커피를 떠오르게 하는
스타벅스 음료의 베스트 x 베스트 조합인
돌체 콜드 브루를 만나보세요!","무더운 여름철, 동남아 휴가지에서 즐기는 커피를 떠오르게 하는 스타벅스 음료의 베스트조합인 돌체 콜드 브루를 만나보세요!"
바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,Tall(톨) / 355ml (12 fl oz),125,58,6,11,3,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2017/04/[9200000000487]_20170405152830688.jpg,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.
콜드 브루,Cold Brew,Tall(톨) / 355ml (12 fl oz),5,11,0,0,0,150,,https://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[9200000000038]_20160408135802812.jpg,"스타벅스 바리스타의 정성으로 탄생한 콜드 브루!

콜드 브루 전용 원두를 차가운 물로 14시간 동안 추출하여 한정된 양만 제공됩니다.
깊은 풍미의 새로운 커피 경험을 즐겨보세요.",스타벅스 바리스타의 정성으로 탄생한 콜드 브루!
콜드 브루 몰트,Cold Brew Malt,Tall(톨) / 355ml (12 fl oz),510,147.8,20,40,10,150,대두 / 우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001636]_20180726125513041.jpg,"[리저브 전용음료] 리저브 콜드 브루, 바닐라 아이스크림, 몰트가 블렌딩된 리저브만의 쉐이크",커피 매스터의 14시간 정성으로 추출한 리저브 콜드 브루와
콜드 브루 플로트,Cold Brew Float,Tall(톨) / 355ml (12 fl oz),230,69,10,18,3,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001635]_20180726125607731.jpg,[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,커피 매스터의 14시간 정성으로 추출한 리저브 콜드 브루에
